30-07 19:57 	SUM: 	104 	[255, 73, 255, 77, 255, 161, 52, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	102 	[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	78 	[0, 174, 255, 73, 255, 51, 255, 39, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	78 	[174, 255, 73, 255, 51, 255, 39, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	254 	[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	0 	[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	178 	[255, 131, 255, 35, 53, 217, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	34 	[53, 217, 174, 255, 73, 255, 143, 255, 145, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	254 	[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	30 	[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[36, 255, 107, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	0 	[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	178 	[255, 131, 255, 89, 255, 217, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	66 	[67, 29, 0, 174, 255, 73, 255, 77, 255, 161, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	102 	[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	78 	[0, 174, 255, 73, 255, 51, 255, 39, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	78 	[174, 255, 73, 255, 51, 255, 39, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	254 	[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	0 	[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	178 	[255, 131, 255, 35, 53, 217, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	34 	[53, 217, 174, 255, 73, 255, 143, 255, 145, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	254 	[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	30 	[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[36, 255, 107, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	28 	[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	0 	[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	178 	[255, 131, 255, 89, 255, 217, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	66 	[67, 29, 0, 174, 255, 73, 255, 77, 255, 161, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	102 	[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51, 13] 	WRONG_SUM!
30-07 19:57 	SUM: 	92 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 13] 	WRONG_SUM!
